Channel              :,CH1
Frequency            :,25.00MHz
Period               :,40.00ns
PK-PK                :,1.042V
Probe attenuation    :,1X
Voltage per ADC value:,0.500000mV
Time interval        :,0.00100uS

index,CH1_Voltage(mV)
1365,-224.000000
1366,-152.000000
1367,-72.000000
1368,8.000000
1369,88.000000
1370,168.000000
1371,248.000000
1372,312.000000
1373,376.000000
1374,432.000000
1375,472.000000
1376,504.000000
1377,520.000000
1378,528.000000
1379,520.000000
1380,496.000000
1381,472.000000
1382,424.000000
1383,368.000000
1384,312.000000
1385,240.000000
1386,168.000000
1387,88.000000
1388,8.000000
1389,-72.000000
1390,-160.000000
1391,-232.000000
1392,-296.000000
1393,-360.000000
1394,-416.000000
1395,-456.000000
1396,-488.000000
1397,-504.000000
1398,-512.000000
1399,-504.000000
1400,-488.000000
1401,-456.000000
1402,-416.000000
1403,-360.000000
1404,-296.000000
1405,-232.000000
1406,-152.000000
1407,-72.000000
1408,8.000000
1409,88.000000
1410,168.000000
1411,240.000000
1412,312.000000
1413,376.000000
1414,424.000000
1415,472.000000
1416,504.000000
1417,520.000000
1418,528.000000
1419,520.000000
1420,496.000000
1421,464.000000
1422,424.000000
1423,368.000000
1424,312.000000
1425,240.000000
1426,168.000000
1427,88.000000
1428,8.000000
1429,-80.000000
1430,-152.000000
1431,-232.000000
1432,-296.000000
1433,-360.000000
1434,-416.000000
1435,-456.000000
1436,-488.000000
1437,-504.000000
1438,-512.000000
1439,-512.000000
1440,-488.000000
1441,-456.000000
1442,-408.000000
1443,-360.000000
1444,-296.000000
1445,-232.000000
1446,-152.000000
1447,-72.000000
1448,8.000000
1449,88.000000
1450,168.000000
1451,240.000000
1452,312.000000
1453,376.000000
1454,424.000000
1455,472.000000
1456,496.000000
1457,520.000000
1458,528.000000
1459,520.000000
1460,496.000000
1461,464.000000
1462,424.000000
1463,368.000000
1464,304.000000
1465,240.000000
1466,168.000000
1467,88.000000
1468,8.000000
1469,-72.000000
1470,-152.000000
1471,-232.000000
1472,-296.000000
1473,-360.000000
1474,-416.000000
1475,-456.000000
1476,-488.000000
1477,-504.000000
1478,-512.000000
1479,-504.000000
1480,-488.000000
1481,-456.000000
1482,-416.000000
1483,-360.000000
1484,-304.000000
1485,-232.000000
1486,-152.000000
1487,-72.000000
1488,8.000000
1489,88.000000
1490,168.000000
1491,240.000000
1492,304.000000
1493,368.000000
1494,424.000000
1495,472.000000
1496,496.000000
1497,520.000000
1498,528.000000
1499,520.000000
1500,504.000000
1501,472.000000
1502,424.000000
1503,376.000000
1504,312.000000
1505,240.000000
1506,168.000000
1507,88.000000
1508,8.000000
1509,-72.000000
1510,-152.000000
1511,-224.000000
1512,-296.000000
1513,-360.000000
1514,-408.000000
1515,-448.000000
1516,-488.000000
1517,-504.000000
1518,-512.000000
1519,-504.000000
1520,-488.000000
